ZONE_NO,ZONE_NAME,WARD_NO,WARD_NAME,CONFIRMED_CASES,BCG_vaccination_2014-2015
X,KODAMBAKKAM,133,,6,92.45
X,KODAMBAKKAM,134,,6,92.45
X,KODAMBAKKAM,135,,6,92.45
X,KODAMBAKKAM,136,T nagar,6,92.45
X,KODAMBAKKAM,137,,6,92.45
X,KODAMBAKKAM,138,Kodambakkam,6,92.45
X,KODAMBAKKAM,139,,6,92.45
X,KODAMBAKKAM,140,,6,92.45
X,KODAMBAKKAM,141,,6,92.45
X,KODAMBAKKAM,142,Saidapet,6,92.45
XI,VALASARAVAKKAM,143,Nolambur,2,84.52
XI,VALASARAVAKKAM,144,Nerkundram,2,84.52
XI,VALASARAVAKKAM,145,,2,84.52
X,VALASARAVAKKAM,146,Maduravoyol,2,84.52
X,VALASARAVAKKAM,147,,2,84.52
X,VALASARAVAKKAM,148,,2,84.52
X,VALASARAVAKKAM,149,Valasaravakkam,2,84.52
X,VALASARAVAKKAM,150,Karambakkam,2,84.52
X,VALASARAVAKKAM,151,,2,84.52
X,VALASARAVAKKAM,152,,2,84.52
X,VALASARAVAKKAM,153,Porur,2,84.52
XI,VALASARAVAKKAM,154,Ramapuram,2,84.52
XI,VALASARAVAKKAM,155,,2,84.52
XII,ALANDUR,156,Mugalivakkam,1,90.3
XII,ALANDUR,157,Manapakkam,1,90.3
XII,ALANDUR,158,Nandambakkam,1,90.3
XII,ALANDUR,159,Meenambakkam,1,90.3
XII,ALANDUR,160,,1,90.3
XII,ALANDUR,161,,1,90.3
XII,ALANDUR,162,,1,90.3
XII,ALANDUR,163,,1,90.3
XII,ALANDUR,164,Alandur,1,90.3
XII,ALANDUR,165,,1,90.3
XII,ALANDUR,166,,1,90.3
XII,ALANDUR,167,,1,90.3
XIV,PERUNGUDI,168,,3,89.24
XIV,PERUNGUDI,169,,3,89.24
XIII,ADYAR,170,Guindy,2,89.62
XIII,ADYAR,171,,2,89.62
XIII,ADYAR,172,,2,89.62
XIII,ADYAR,173,Raja annamalaipuram,2,89.62
XIII,ADYAR,174,,2,89.62
XIII,ADYAR,175,Adyar,2,89.62
XIII,ADYAR,176,,2,89.62
XIII,ADYAR,177,,2,89.62
XIII,ADYAR,178,Velachery,2,89.62
XIII,ADYAR,179,,2,89.62
XIII,ADYAR,180,,2,89.62
XIII,ADYAR,181,Thiruvanmiyur,2,89.62
XIII,ADYAR,182,,2,89.62
XIV,PERUNGUDI,183,Kottivakkam,3,89.24
XIV,PERUNGUDI,184,Perungudi,3,89.24
XIV,PERUNGUDI,185,Palavakkam,3,89.24
XIV,PERUNGUDI,186,,3,89.24
XIV,PERUNGUDI,187,Madipakkam,3,89.24
XIV,PERUNGUDI,188,,3,89.24
XIV,PERUNGUDI,189,Pallikkaranai,3,89.24
XIV,PERUNGUDI,190,,3,89.24
XIV,PERUNGUDI,191,Jalladampettai,3,89.24
XV,SOZHINGANALLUR,192,Neelankarai,1,89.07
XV,SOZHINGANALLUR,193,,1,89.07
XV,SOZHINGANALLUR,194,Okkiyam thuraipakkam,1,89.07
XV,SOZHINGANALLUR,195,,1,89.07
XV,SOZHINGANALLUR,196,Injambakkam,1,89.07
XV,SOZHINGANALLUR,197,Karapakkam,1,89.07
XV,SOZHINGANALLUR,198,Sozhanganallur,1,89.07
XV,SOZHINGANALLUR,199,Uthandi,1,89.07
XV,SOZHINGANALLUR,200,Semmanchery,1,
,,-,,,
